subject,acquisition,fd_mean
10024,mb1me4,0.07122442802580642
10024,mb3me4,0.09628641884391352
10024,mb6me4,0.10701465479389657
10035,mb1me4,0.08289744403225804
10035,mb3me4,0.09181825817875454
10035,mb6me4,0.0803328544912356
10041,mb1me4,0.17028091709677418
10041,mb3me4,0.16870773075311352
10041,mb6me4,0.127185501920497
10054,mb1me4,0.22879170212903222
10054,mb3me4,0.12074738354578751
10054,mb6me4,0.10556128722425447
10059,mb1me4,0.0729822746053763
10059,mb3me4,0.09337475791758236
10059,mb6me4,0.08905544171055822
10078,mb1me4,0.055296258064516074
10078,mb3me4,0.11221142711904758
10078,mb6me4,0.07683464858447313
10130,mb1me4,0.152273358688172
10130,mb3me4,0.08132724660219777
10130,mb6me4,0.12648724732866798
10150,mb1me4,0.1588885602150537
10150,mb3me4,0.09720881648841756
10150,mb6me4,0.0887179760423459
10185,mb1me4,0.04867338134193547
10185,mb3me4,0.06869236274554937
10185,mb6me4,0.06584552567514908
10221,mb1me4,0.3385284838892473
10221,mb3me4,0.25571245243040286
10221,mb6me4,0.25078851788270373
10223,mb1me4,0.08498347691505374
10223,mb3me4,0.1170835701216117
10223,mb6me4,0.10535602442115306
10234,mb1me4,0.14727993694623656
10234,mb3me4,0.20117235104761902
10234,mb6me4,0.12781684100894627
10321,mb1me4,0.05509382823655911
10321,mb3me4,0.06642179465201463
10321,mb6me4,0.07712754605447313
10382,mb1me4,0.23096011462365593
10382,mb3me4,0.14873182310989008
10382,mb6me4,0.12461444047495025
10416,mb1me4,0.08443605431655911
10416,mb3me4,0.11420476525560436
10416,mb6me4,0.08165141810775345
10006,mb1me4,NaN
10006,mb3me4,NaN
10006,mb6me4,NaN
10015,mb1me4,NaN
10015,mb3me4,NaN
10015,mb6me4,NaN
10046,mb1me4,NaN
10046,mb3me4,0.20531662481081075
10046,mb6me4,NaN
10303,mb1me4,0.07331729052688168
10303,mb3me4,NaN
10303,mb6me4,0.08227393300656062
10716,mb1me4,0.46797226170215056
10716,mb3me4,0.5145523089054945
10716,mb6me4,NaN
10738,mb1me4,0.303247764172043
10738,mb3me4,NaN
10738,mb6me4,NaN
10017,mb1me4,0.05925081514408599
10017,mb3me4,0.08604393239336262
10017,mb6me4,0.07847369651777333
