subject,headcoil,mb1me4,mb3me4,mb6me4
10017,64,4.97,4.964,4.925
10024,64,4.966,5.0,4.997
10028,64,4.925,5.006,4.996
10035,64,4.918,4.963,4.952
10041,64,5.052,4.942,4.994
10043,64,4.918,4.963,4.944
10054,64,4.879,4.926,4.97
10059,64,4.933,4.959,4.973
10069,64,4.95,4.911,4.978
10074,64,4.955,4.975,4.957
10078,64,5.027,4.963,4.965
10080,64,4.883,4.946,4.972
10085,64,5.025,4.969,4.99
10094,64,4.91,4.932,4.948
10108,64,4.95,4.989,4.981
10125,64,4.937,4.995,4.959
10130,64,5.016,5.004,4.965
10136,64,4.927,4.98,4.988
10137,64,4.911,4.988,4.919
10142,64,4.878,4.974,4.967
10150,64,4.997,4.969,5.015
10154,64,4.932,4.977,4.939
10166,20,4.975,4.959,4.986
10185,20,4.963,4.941,4.984
10186,64,4.956,4.969,4.937
10188,64,4.918,4.971,4.969
10198,20,4.954,4.927,5.003
10203,20,4.888,4.95,4.999
10221,64,4.933,5.004,4.904
10223,20,4.874,4.948,5.02
10234,20,4.907,4.932,4.967
10296,20,4.957,4.987,4.963
10303,20,4.949,,4.979
10318,20,4.914,4.926,5.002
10319,20,4.966,4.93,5.003
10320,20,4.914,4.932,5.004
10321,20,4.933,4.948,4.998
10363,20,4.951,4.956,4.99
10382,20,4.927,4.939,4.971
10391,20,4.931,4.948,4.964
10416,20,4.905,4.912,4.948
10422,20,4.976,4.94,5.066
10438,20,4.93,4.941,4.989
12042,20,4.957,4.955,4.925
